PROJECT,YEAR,MONTH,DAY,ECOREGION,CLUSTER,PLOT_ID,PLOT_ID_ALT,PLOT_ID_AMERIFLUX,LATITUDE,LONGITUDE,ELEVATION,MAT,MAP,SOIL_DEPTH,SOIL_LAYER,UPPER_DEPTH_OF_SOIL_LAYER,LOWER_DEPTH_OF_SOIL_LAYER,BULK_DENSITY_OF_SOIL_LAYER,CARBON_CONTENT_OF_SOIL_LAYEL,NITROGEN_CONTENT_OF_SOIL_LAYER,PH_OF_SOIL_LAYER,VOLUME_FRACTION_OF_SAND_IN_SOIL_LAYER,VOLUME_FRACTION_OF_SILT_IN_SOIL_LAYER,VOLUME_FRACTION_OF_CLAY_IN_SOIL_LAYER
,,,,,,,,,decimal degree,decimal degree,m,degree C,mm,cm,,cm,cm,kg/m2,gC/m2,gN/m2,,percent,percent,percent
EPA,2001,10,3,Coast Range,Cascade Head,1,none,none,45.1024,-123.8816,227,10.4,2489,85,top,0,20,110,10020,630,4.73,47,42,11
EPA,2001,10,3,Coast Range,Cascade Head,1,none,none,45.1024,-123.8816,227,10.4,2489,85,middle,20,50,198,11190,710,4.77,46,39,15
EPA,2001,10,3,Coast Range,Cascade Head,1,none,none,45.1024,-123.8816,227,10.4,2489,85,bottom,50,100,510,18580,1150,4.83,43,39,18
EPA,2001,8,8,Coast Range,Cascade Head,2,none,none,45.0974,-123.8972,320,10.29,2572,81,top,0,20,66,12780,590,4.33,58,30,12
EPA,2001,8,8,Coast Range,Cascade Head,2,none,none,45.0974,-123.8972,320,10.29,2572,81,middle,20,50,147,17410,820,4.97,52,39,9
EPA,2001,8,8,Coast Range,Cascade Head,2,none,none,45.0974,-123.8972,320,10.29,2572,81,bottom,50,100,380,24480,1330,5.15,47,42,11
EPA,2001,7,27,Coast Range,Cascade Head,3,none,none,45.1122,-123.8841,138,10.32,2562,94,top,0,20,108,8800,460,4.48,43,35,22
EPA,2001,7,27,Coast Range,Cascade Head,3,none,none,45.1122,-123.8841,138,10.32,2562,94,middle,20,50,180,9030,490,4.69,34,33,33
EPA,2001,7,27,Coast Range,Cascade Head,3,none,none,45.1122,-123.8841,138,10.32,2562,94,bottom,50,100,455,13390,730,4.76,37,26,37
EPA,2001,9,19,Coast Range,Cascade Head,6,none,none,45.0894,-123.8816,344,10.16,2665,100,top,0,20,82,9620,420,4.5,49,34,17
EPA,2001,9,19,Coast Range,Cascade Head,6,none,none,45.0894,-123.8816,344,10.16,2665,100,middle,20,50,243,10050,560,4.9,37,40,23
EPA,2001,9,19,Coast Range,Cascade Head,6,none,none,45.0894,-123.8816,344,10.16,2665,100,bottom,50,100,540,8770,520,5.07,36,36,28
EPA,2001,9,19,Coast Range,Cascade Head,7,none,none,45.092,-123.8807,319,10.16,2665,100,top,0,20,86,8340,480,4.47,55,36,9
EPA,2001,9,19,Coast Range,Cascade Head,7,none,none,45.092,-123.8807,319,10.16,2665,100,middle,20,50,186,11310,610,4.59,46,38,16
